Marking,Name ,Width,Height,Length,Volume. M3,Weight,Capacity. L,Material,Rotate,Put on top
BoxCarton1200х800х800,Четырехклапанная картонная коробка 120х80х80 см. ,800,800,1200,0.77,0.51,768,Carton,Allowed,Forbidden
BoxCarton800х600х600,Четырехклапанная картонная коробка 80х60х60 см. ,600,600,800,0.29,1.38,288,Carton,Allowed,Forbidden
BoxCarton750х500х500,Четырехклапанная картонная коробка 75х50х50 см. ,500,500,750,0.19,1.03,187.5,Carton,Allowed,Forbidden
BoxCarton600х400х400,Четырехклапанная картонная коробка 60х40х40 см. ,400,400,600,0.1,0.66,96,Carton,Allowed,Forbidden
BoxCarton600х400х250,Четырехклапанная картонная коробка 60х40х25 см. ,400,250,600,0.06,0.96,60,Carton,Allowed,Forbidden
BoxCarton400х300х300,Четырехклапанная картонная коробка 40х30х30 см. ,300,300,400,0.04,0.35,36,Carton,Allowed,Forbidden
BoxCarton400х300х200,Четырехклапанная картонная коробка 40х30х20 см. ,300,200,400,0.02,0.3,24,Carton,Allowed,Forbidden
BoxCarton380х304х285,Четырехклапанная картонная коробка 38х30.4х28.5 см. ,304,285,380,0.033,0.34,32.92,Carton,Allowed,Forbidden
BoxCarton300х200х150,Четырехклапанная картонная коробка 30х20х15 см. ,200,150,300,0.01,0.23,9,Carton,Allowed,Forbidden
BoxCarton1200х200х200,Четырехклапанная картонная коробка Открытие сбоку/с торца 120х20х20 см. ,200,200,1200,0.03,0.48,27,Carton,Allowed,Forbidden
BoxCarton1200х150х150,Четырехклапанная картонная коробка Открытие сбоку/с торца 120х15х15 см. ,150,150,1200,0.03,0.36,27,Carton,Allowed,Forbidden
BoxCarton1000х500х500,Четырехклапанная картонная коробка 100х50х50 см. ,500,500,1000,0.25,1.23,250,Carton,Allowed,Forbidden
BoxCarton1000х200х200,Четырехклапанная картонная коробка Открытие сбоку/с торца 100х20х20 см. ,200,200,1000,0.04,0.41,40,Carton,Allowed,Forbidden
BoxCarton1000х150х150,Четырехклапанная картонная коробка Открытие сбоку/с торца 100х15х15 см. ,150,150,1000,0.02,0.3,22.5,Carton,Allowed,Forbidden
BoxCarton1000х100х100,Четырехклапанная картонная коробка Открытие сбоку/с торца 100х10х10 см. ,100,100,1000,0.01,0.2,10,Carton,Allowed,Forbidden
BoxCarton900х200х200,Четырехклапанная картонная коробка 90х20х20 см. ,200,200,900,0.04,0.37,36,Carton,Allowed,Forbidden
BoxCarton800х600х800,Четырехклапанная картонная коробка 80х60х80 см. ,600,800,800,0.38,1.61,384,Carton,Allowed,Forbidden
BoxCarton800х600х600,Четырехклапанная картонная коробка 80х60х60 см. ,600,600,800,0.29,1.38,288,Carton,Allowed,Forbidden
BoxCarton800х600х400,Четырехклапанная картонная коробка 80х60х40 см. ,600,400,800,0.19,1.15,192,Carton,Allowed,Forbidden
BoxCarton800х400х200,Четырехклапанная картонная коробка 80х40х20 см. ,400,200,800,0.06,0.6,64,Carton,Allowed,Forbidden
BoxCarton800х350х400,Четырехклапанная картонная коробка 80х35х40 см. ,350,400,800,0.11,0.71,112,Carton,Allowed,Forbidden
BoxCarton750х500х500,Четырехклапанная картонная коробка 75х50х50 см. ,500,500,750,0.19,1.03,187.5,Carton,Allowed,Forbidden
BoxCarton700х500х500,Четырехклапанная картонная коробка 70х50х50 см. ,500,500,700,0.18,0.99,175,Carton,Allowed,Forbidden
BoxCarton700х400х400,Четырехклапанная картонная коробка 70х40х40 см. ,400,400,700,0.11,0.73,112,Carton,Allowed,Forbidden
BoxCarton630х320х340,Четырехклапанная картонная коробка 63х32х34 см. ,320,340,630,0.07,0.52,68.54,Carton,Allowed,Forbidden
BoxCarton600х600х600,Четырехклапанная картонная коробка 60х60х60 см. ,600,600,600,0.22,1.19,216,Carton,Allowed,Forbidden
BoxCarton600х500х300,Четырехклапанная картонная коробка 60х50х30 см. ,500,300,600,0.09,0.73,90,Carton,Allowed,Forbidden
BoxCarton600х400х500,Четырехклапанная картонная коробка 60х40х50 см. ,400,500,600,0.12,0.75,120,Carton,Allowed,Forbidden
BoxCarton600х400х400,Четырехклапанная картонная коробка 60х40х40 см. ,400,400,600,0.1,0.66,96,Carton,Allowed,Forbidden
BoxCarton600х400х300,Четырехклапанная картонная коробка 60х40х30 см. ,400,300,600,0.07,0.58,72,Carton,Allowed,Forbidden
BoxCarton600х400х130,Четырехклапанная картонная коробка 60х40х13 см. ,400,130,600,0.03,0.44,130,Carton,Allowed,Forbidden
BoxCarton600х200х200,Четырехклапанная картонная коробка 60х20х20 см. ,200,200,600,0.02,0.27,24,Carton,Allowed,Forbidden
BoxCarton570х380х126,Четырехклапанная картонная коробка 57х38х12.6 см. ,380,126,570,0.027,0.4,27,Carton,Allowed,Forbidden
BoxCarton570х285х190,Четырехклапанная картонная коробка 57х28.5х19 см.  ,285,190,570,0.031,0.34,30.87,Carton,Allowed,Forbidden
